idade (Myr)		profundidade (km)
0.5653266331658298  2.8974895846755144
2.826633165829147  3.1711227075548685
4.711055276381906  3.3934523042563245
6.78391959798995  3.5816046042176692
8.668341708542712  3.7013700983550226
10.741206030150753  3.8467873555813252
12.625628140703515  3.804159687325517
14.698492462311552  3.8812008761757504
16.58291457286432  3.9924193617660952
18.84422110552764  4.0694712880642525
20.91708542713567  4.146512476914487
22.80150753768844  4.232089936863806
24.685929648241203  4.300573379719108
26.758793969849247  4.377614568569342
28.831658291457284  4.429014731778551
30.527638190954764  4.540222479920972
32.78894472361809  4.6001803891251125
34.861809045226124  4.643033543787313
36.74623115577889  4.711516986642614
38.819095477386924  4.771464158398832
40.891959798994975  4.831411330155049
42.77638190954774  4.8657067388223165
44.6608040201005  4.917096164583602
46.92211055276381  4.9685070652407335
49.18341708542712  5.011370957350856
50.879396984924625  5.05420263711721
52.76381909547739  5.165421122707555
54.836683417085425  5.182633251728729
56.72110552763819  5.293851737319073
58.79396984924624  5.311063866340248
60.866834170854275  5.302634969720396
62.9396984924623  5.354035132929605
65.01256281407035  5.37124726195078
66.89698492462311  5.379901644977021
68.78140703517587  5.397103036550273
70.85427135678391  5.448503199759481
72.92713567839196  5.4999033629686895
75  5.465833440707812
76.88442211055275  5.491581840828071
78.76884422110552  5.500236223854314
80.84170854271356  5.525995361422497
82.72613065326632  5.517555727354722
84.79899497487436  5.51767383928188
86.87185929648241  5.475056908473993
88.94472361809045  5.475175020401151
90.82914572864321  5.518017437615427
92.90201005025125  5.509588540995575
94.78643216080401  5.552430958209852
96.85929648241205  5.424343941931881
98.9321608040201  5.424462053859038
100.62814070351759  5.441652707984366
102.70100502512562  5.416129794270497
104.77386934673366  5.38205987200962
107.03517587939697  5.305265644461624
108.73115577889446  5.3224562985869515
110.8040201005025  5.322574410514109
112.87688442211055  5.23722243697118
114.76130653266333  5.160406734527338
116.64572864321607  5.220343168835631
118.71859296482413  5.2546493149508215
120.79145728643215  5.382972555083107
122.8643216080402  5.3574496413692385
124.74874371859295  5.408839067130524
126.821608040201  5.451692221792724
128.70603015075378  5.391970536442898
130.7788944723618  5.511746768028174
132.85175879396982  5.546052914143366
134.92462311557787  5.648735128634625
136.62060301507535  5.6488317656659355
138.8819095477387  5.648960615041016
140.95477386934672  5.623437701327148
142.83919597989947  5.5551690074303135
144.72361809045225  5.572370399003564
146.79648241206027  5.478471416913628
148.68090452261305  5.6153309281449975
150.94221105527637  5.54708370914401
152.82663316582915  5.4702680067001666
155.08793969849245  5.45330283898123
156.78391959798992  5.461946484559549
158.85678391959797  5.462064596486707
160.92964824120602  5.299789546020701
163.00251256281405  5.23153158957179
164.69849246231155  5.2829102778851516
